TimeStamp,FDR620,FDR623,FDR634,FDR640,FDR673,FDR726,FDR734,FDR767,FDR778,FDR781,FDR787,FDR792,FDR826,FDR859,FDR877,FDR881,FDR892,FDR899,FDR941,FDR953,FDR960,FDR963,FDR980,FDR1058,FDR1059,FDR1066,FDR1069,FDR1126,FDR1145,FDR1355,FDR1359,FDR3001,FDR1364,FDR1370,FDR1398,FDR1399,FDR1401,FDR1405,FDR1406,FDR1413,FDR1416,FDR1417,FDR1418,FDR1430,FDR1431,FDR1456,FDR1497,FDR1617,FDR1491,FDR1615,FDR1484,FDR1465,FDR1622,FDR1642,FDR1651,FDR1661,FDR1667,FDR1638,FDR1664,FDR1616,FDR1707,FDR1609,FDR1698,FDR1679,FDR1681,FDR3100,FDR1680,FDR1697,FDR3102,FDR3105,FDR998
59:47.0,3.0714,3.0417,3.3379,3.0415,3.0493,3.045,2.8929,3.0476,3.0491,3.079,60.0301,60.0277,60.03,60.0328,60.0269,60.0319,60.0306,60.028,60.0277,60.0302,60.032,60.0295,60.0297,60.0282,60.0287,60.0297,60.03,60.0322,60.0298,60.0213000000001,60.0304,60.0301,60.0301,60.0296,60.0311,60.0279,60.0299,60.0265,60.0307,60.0294,60.0293,60.0291,60.0296,60.0296,60.0286,60.0283,60.0302,60.0293,60.0284,60.0303,60.0293,60.0287,60.028,60.0276,60.0303,60.0304,60.032,60.0286,60.0322,60.0327,60.0299,60.0314,60.0301,60.0305,60.0322,60.0261,60.0291,60.0275,60.0282,60.0302,60.0299
59:47.1,3.068,3.0459,2.7997,3.0833,3.0691,3.0512,3.2613,2.9842,3.0637,3.0693,60.0302,60.0258,60.0317,60.0326,60.0269,60.0327,60.0308,60.0296,60.0262,60.0311,60.0317,60.0295,60.0283,60.0271,60.0285,60.03,60.0298,60.0316,60.0264,60.0215000000001,60.0296,60.0281,60.0294,60.0283,60.04,60.0279,60.03,60.0274,60.0305,60.0289,60.0286,60.029,60.0297,60.029,60.0291,60.0286,60.0297,60.0287,60.029,60.0296,60.028,60.0274,60.0283,60.0273,60.0297,60.0292,60.0316,60.0297,60.027,60.0324,60.0292,60.0301,60.029,60.0298,60.0328,60.0239,60.0297,60.0285,60.0285,60.0303,60.0291
59:47.2,3.0642,3.0502,3.143,3.2669,3.0621,3.0601,3.0995,3.1626,3.0611,3.0609,60.0284,60.0329,60.0295,60.0318,60.0266,60.0309,60.0292,60.0304,60.028,60.0307,60.0318,60.0296,60.0303,60.0296,60.0281,60.03,60.0298,60.0316,60.0302,60.0217,60.0304,60.0272,60.0295,60.0288,60.0219,60.0282,60.0298,60.0372,60.0304,60.029,60.0287,60.0286,60.0297,60.0295,60.029,60.0282,60.0303,60.0276,60.0285,60.0291,60.0281090909091,60.0276,60.0283,60.0276,60.0301,60.0293,60.0318,60.0292,60.0328,60.0322,60.0305,60.0298,60.0289,60.0298,60.0319,60.0294,60.0298,60.0285,60.0285,60.0292,60.0293
59:47.3,3.0607,3.0545,2.9419,3.1376,3.0339,3.0618,3.0267,3.0251,3.0267,3.0632,60.0297,60.0296,60.0307,60.031,60.0271,60.0312,60.0306,60.0291,60.0256,60.0301,60.0322,60.0296,60.0284,60.0255,60.0275,60.0289,60.0285,60.0312,60.0285,60.0219,60.029,60.0254,60.0296,60.0271,60.0415,60.0279,60.03,60.0235,60.031,60.0288,60.0279,60.0293,60.0283,60.0286,60.0295,60.0279,60.0285,60.0284,60.0286,60.0288,60.0282181818182,60.0274,60.0279,60.0279,60.0291,60.0288,60.0305,60.0287,60.0267,60.0309,60.0282,60.0294,60.0285,60.0298,60.0315,60.0265,60.0293,60.0279,60.0278,60.0288,60.0288909090909
59:47.4,3.0575,3.0587,3.1321,3.224,3.0913,3.0596,3.2827,3.0471,3.0563,3.0534,60.0269,60.0192,60.0302,60.0305,60.0282,60.0311,60.03,60.0288,60.0289,60.0313,60.031,60.0298,60.0293,60.0285,60.0282,60.028,60.0272,60.0306,60.0305,60.0220999999999,60.0294,60.0242,60.0288,60.0278,60.0261,60.0286,60.0295,60.037,60.03,60.0284,60.0278,60.0289,60.0291,60.0282,60.0292,60.029,60.0286,60.0294,60.0279,60.0283,60.0283272727273,60.0276,60.028,60.027,60.0294,60.0286,60.0306,60.0282,60.029,60.0307,60.0282,60.0286,60.0286,60.0303,60.031,60.0323,60.0293,60.0279,60.0284,60.0274,60.0284818181818
59:47.5,3.054,3.063,3.2412,3.0449,3.066,3.0661,2.5626,2.9718,3.0281,3.0481,60.0269,60.0213,60.0293,60.0295,60.0294,60.0315,60.0301,60.0288,60.0273,60.0306,60.0305,60.0295,60.0275,60.0282,60.0291,60.0284,60.0275,60.03,60.0274,60.0223000000001,60.0292,60.0222,60.0286,60.0256,60.0286,60.0302,60.0285,60.0186,60.0294,60.0282,60.027,60.0285,60.0299,60.0277,60.0291,60.0285,60.0283,60.0292,60.0287,60.0276,60.0284363636364,60.0283,60.0281,60.0281,60.0293,60.0283,60.0299,60.0292,60.0244,60.0298,60.0281,60.0283,60.0285,60.0294,60.0307,60.0323,60.0293,60.0284,60.0277,60.0276,60.0280727272727
59:47.6,3.0506,3.0674,3.5692,3.0798,3.0844,3.0506,3.2354,2.9755,3.0673,3.0625,60.0265,60.0353,60.0296,60.0296,60.0289,60.0306,60.031,60.0287,60.0291,60.0302,60.0297,60.0295,60.0281,60.0291,60.0276,60.0282,60.0273,60.0289,60.029,60.0225,60.0281,60.0213,60.0291,60.0286,60.0283,60.0289,60.0283,60.0278,60.0293,60.0284,60.0276,60.028,60.0282,60.0274,60.029,60.028,60.028,60.0281,60.0289,60.03,60.0285454545455,60.028,60.0276,60.0282,60.0293,60.028,60.0289,60.0278,60.0274,60.0291,60.0287,60.0299,60.0276,60.0295,60.0291,60.03,60.028,60.0278,60.0287,60.0272,60.0276636363636
59:47.7,3.0473,3.0716,2.6861,3.1135,3.0602,3.0721,3.339,3.0512,3.0331,3.0442,60.0269,60.028,60.0289,60.0299,60.0288,60.0287,60.0292,60.0285,60.0294,60.0294,60.0294,60.0287,60.0278,60.029,60.0288,60.0283,60.0265,60.0285,60.026,60.0227,60.029,60.0217,60.0286,60.0276,60.0287,60.0282,60.0284,60.0275,60.0291,60.0281,60.0278,60.0274,60.0286,60.0275,60.0286,60.0286,60.0284,60.0265,60.0284,60.0299,60.0286545454546,60.0286,60.0282,60.0277,60.0289,60.0277,60.0288,60.028,60.0267,60.0282,60.0287,60.0277,60.0279,60.0291,60.028,60.0287,60.0287,60.0284,60.028,60.0276,60.0272545454545
59:47.8,3.044,3.0758,3.1345,3.0109,3.0666,3.0819,3.1929,2.9575,3.0374,3.036,60.0274,60.0262,60.0293,60.0288,60.0295,60.0286,60.0299,60.029,60.0269,60.0286,60.0287,60.0287,60.0273,60.0288,60.0288,60.0282,60.0275,60.0278,60.0314,60.0228999999999,60.0277,60.0211,60.0281,60.0282,60.0265,60.0293,60.0286,60.0275,60.0275,60.0279,60.0279,60.0274,60.0284,60.0272,60.0283,60.0278,60.0276,60.0296,60.0279,60.0276,60.0287636363636,60.0288,60.0278,60.0283,60.0276,60.0279,60.0286,60.0272,60.0288,60.0284,60.0281,60.0277,60.0275,60.028,60.0272,60.0212,60.028,60.028,60.0281,60.0267,60.0268454545455
59:47.9,3.0405,3.0802,3.0226,2.9789,3.041,3.078,3.3823,2.9827,3.0375,3.0371,60.0286,60.0312,60.0285,60.0288,60.0285,60.0283,60.0288,60.0295,60.0251,60.0282,60.0282,60.0275,60.0277,60.0286,60.0288,60.0272,60.0273,60.0274,60.0274,60.0231000000001,60.0274,60.0217,60.0278,60.0257,60.0209,60.0286,60.0279,60.0294,60.0282,60.0279,60.0282,60.0267,60.0265,60.0288,60.0282,60.0286,60.0273,60.0263,60.0278,60.0285,60.0288727272727,60.0285,60.028,60.0279,60.0282,60.0283,60.027,60.0283,60.0253,60.0273,60.0279,60.0277,60.0281,60.0283,60.0276,60.0247,60.0279,60.0277,60.0279,60.0271,60.0264363636364
