TimeStamp,FDR620,FDR623,FDR634,FDR640,FDR673,FDR726,FDR734,FDR767,FDR778,FDR781,FDR787,FDR792,FDR826,FDR859,FDR877,FDR881,FDR892,FDR899,FDR941,FDR953,FDR960,FDR963,FDR980,FDR1058,FDR1059,FDR1066,FDR1069,FDR1126,FDR1145,FDR1355,FDR1359,FDR3001,FDR1364,FDR1370,FDR1398,FDR1399,FDR1401,FDR1405,FDR1406,FDR1413,FDR1416,FDR1417,FDR1418,FDR1430,FDR1431,FDR1456,FDR1497,FDR1617,FDR1491,FDR1615,FDR1484,FDR1465,FDR1622,FDR1642,FDR1651,FDR1661,FDR1667,FDR1638,FDR1664,FDR1616,FDR1707,FDR1609,FDR1698,FDR1679,FDR1681,FDR3100,FDR1680,FDR1697,FDR3102,FDR3105,FDR998
2024/10/21 3:59:47.0,3.0714,3.0714,2.0831,3.073,3.071,3.0703,2.4619,3.1237,3.0948,3.0801,60.0301,60.0277,60.03,60.0328,60.0269,60.0319,60.0306,60.028,60.0277,60.0302,60.032,60.0295,60.0297,60.0282,60.0287,60.0297,60.03,60.0322,60.0298,60.0213000000001,60.0304,60.0301,60.0301,60.0296,60.0311,60.0279,60.0299,60.0265,60.0307,60.0294,60.0293,60.0291,60.0296,60.0296,60.0286,60.0283,60.0302,60.0293,60.0284,60.0303,60.0293,60.0287,60.028,60.0276,60.0303,60.0304,60.032,60.0286,60.0322,60.0327,60.0299,60.0314,60.0301,60.0305,60.0322,60.0261,60.0291,60.0275,60.0282,60.0302,60.0299
2024/10/21 3:59:47.1,3.068,3.068,2.1974,3.0261,3.0668,3.0676,2.875,2.9813,3.068,3.0728,60.0302,60.0258,60.0317,60.0326,60.0269,60.0327,60.0308,60.0296,60.0262,60.0311,60.0317,60.0295,60.0283,60.0271,60.0285,60.03,60.0298,60.0316,60.0264,60.0215000000001,60.0296,60.0281,60.0294,60.0283,60.04,60.0279,60.03,60.0274,60.0305,60.0289,60.0286,60.029,60.0297,60.029,60.0291,60.0286,60.0297,60.0287,60.029,60.0296,60.028,60.0274,60.0283,60.0273,60.0297,60.0292,60.0316,60.0297,60.027,60.0324,60.0292,60.0301,60.029,60.0298,60.0328,60.0239,60.0297,60.0285,60.0285,60.0303,60.0291
2024/10/21 3:59:47.2,3.0642,3.0642,2.0872,3.0525,3.0642,3.062,3.4146,2.9578,3.0701,3.0586,60.0284,60.0329,60.0295,60.0318,60.0266,60.0309,60.0292,60.0304,60.028,60.0307,60.0318,60.0296,60.0303,60.0296,60.0281,60.03,60.0298,60.0316,60.0302,60.0217,60.0304,60.0272,60.0295,60.0288,60.0219,60.0282,60.0298,60.0372,60.0304,60.029,60.0287,60.0286,60.0297,60.0295,60.029,60.0282,60.0303,60.0276,60.0285,60.0291,60.0281090909091,60.0276,60.0283,60.0276,60.0301,60.0293,60.0318,60.0292,60.0328,60.0322,60.0305,60.0298,60.0289,60.0298,60.0319,60.0294,60.0298,60.0285,60.0285,60.0292,60.0293
2024/10/21 3:59:47.3,3.0607,3.0607,3.3402,3.1049,3.0611,3.0602,3.2329,3.0089,3.0437,3.067,60.0297,60.0296,60.0307,60.031,60.0271,60.0312,60.0306,60.0291,60.0256,60.0301,60.0322,60.0296,60.0284,60.0255,60.0275,60.0289,60.0285,60.0312,60.0285,60.0219,60.029,60.0254,60.0296,60.0271,60.0415,60.0279,60.03,60.0235,60.031,60.0288,60.0279,60.0293,60.0283,60.0286,60.0295,60.0279,60.0285,60.0284,60.0286,60.0288,60.0282181818182,60.0274,60.0279,60.0279,60.0291,60.0288,60.0305,60.0287,60.0267,60.0309,60.0282,60.0294,60.0285,60.0298,60.0315,60.0265,60.0293,60.0279,60.0278,60.0288,60.0288909090909
2024/10/21 3:59:47.4,3.0575,3.0575,3.4342,2.9947,3.0582,3.058,3.1244,3.0848,3.0472,3.0546,60.0269,60.0192,60.0302,60.0305,60.0282,60.0311,60.03,60.0288,60.0289,60.0313,60.031,60.0298,60.0293,60.0285,60.0282,60.028,60.0272,60.0306,60.0305,60.0220999999999,60.0294,60.0242,60.0288,60.0278,60.0261,60.0286,60.0295,60.037,60.03,60.0284,60.0278,60.0289,60.0291,60.0282,60.0292,60.029,60.0286,60.0294,60.0279,60.0283,60.0283272727273,60.0276,60.028,60.027,60.0294,60.0286,60.0306,60.0282,60.029,60.0307,60.0282,60.0286,60.0286,60.0303,60.031,60.0323,60.0293,60.0279,60.0284,60.0274,60.0284818181818
2024/10/21 3:59:47.5,3.054,3.054,1.6234,3.1758,3.0539,3.058,3.1948,3.1956,3.0454,3.0492,60.0269,60.0213,60.0293,60.0295,60.0294,60.0315,60.0301,60.0288,60.0273,60.0306,60.0305,60.0295,60.0275,60.0282,60.0291,60.0284,60.0275,60.03,60.0274,60.0223000000001,60.0292,60.0222,60.0286,60.0256,60.0286,60.0302,60.0285,60.0186,60.0294,60.0282,60.027,60.0285,60.0299,60.0277,60.0291,60.0285,60.0283,60.0292,60.0287,60.0276,60.0284363636364,60.0283,60.0281,60.0281,60.0293,60.0283,60.0299,60.0292,60.0244,60.0298,60.0281,60.0283,60.0285,60.0294,60.0307,60.0323,60.0293,60.0284,60.0277,60.0276,60.0280727272727
2024/10/21 3:59:47.6,3.0506,3.0506,2.2076,3.1962,3.0502,3.0495,3.3516,3.0064,3.0633,3.0503,60.0265,60.0353,60.0296,60.0296,60.0289,60.0306,60.031,60.0287,60.0291,60.0302,60.0297,60.0295,60.0281,60.0291,60.0276,60.0282,60.0273,60.0289,60.029,60.0225,60.0281,60.0213,60.0291,60.0286,60.0283,60.0289,60.0283,60.0278,60.0293,60.0284,60.0276,60.028,60.0282,60.0274,60.029,60.028,60.028,60.0281,60.0289,60.03,60.0285454545455,60.028,60.0276,60.0282,60.0293,60.028,60.0289,60.0278,60.0274,60.0291,60.0287,60.0299,60.0276,60.0295,60.0291,60.03,60.028,60.0278,60.0287,60.0272,60.0276636363636
2024/10/21 3:59:47.7,3.0473,3.0473,2.7956,2.9859,3.0486,3.0463,2.8322,3.036,3.0423,3.0395,60.0269,60.028,60.0289,60.0299,60.0288,60.0287,60.0292,60.0285,60.0294,60.0294,60.0294,60.0287,60.0278,60.029,60.0288,60.0283,60.0265,60.0285,60.026,60.0227,60.029,60.0217,60.0286,60.0276,60.0287,60.0282,60.0284,60.0275,60.0291,60.0281,60.0278,60.0274,60.0286,60.0275,60.0286,60.0286,60.0284,60.0265,60.0284,60.0299,60.0286545454546,60.0286,60.0282,60.0277,60.0289,60.0277,60.0288,60.028,60.0267,60.0282,60.0287,60.0277,60.0279,60.0291,60.028,60.0287,60.0287,60.0284,60.028,60.0276,60.0272545454545
2024/10/21 3:59:47.8,3.044,3.044,3.5076,3.0129,3.0453,3.0446,3.1578,2.9271,3.0709,3.0408,60.0274,60.0262,60.0293,60.0288,60.0295,60.0286,60.0299,60.029,60.0269,60.0286,60.0287,60.0287,60.0273,60.0288,60.0288,60.0282,60.0275,60.0278,60.0314,60.0228999999999,60.0277,60.0211,60.0281,60.0282,60.0265,60.0293,60.0286,60.0275,60.0275,60.0279,60.0279,60.0274,60.0284,60.0272,60.0283,60.0278,60.0276,60.0296,60.0279,60.0276,60.0287636363636,60.0288,60.0278,60.0283,60.0276,60.0279,60.0286,60.0272,60.0288,60.0284,60.0281,60.0277,60.0275,60.028,60.0272,60.0212,60.028,60.028,60.0281,60.0267,60.0268454545455
2024/10/21 3:59:47.9,3.0405,3.0405,3.2422,3.0734,3.0423,3.0409,2.5984,3.1325,3.0178,3.0365,60.0286,60.0312,60.0285,60.0288,60.0285,60.0283,60.0288,60.0295,60.0251,60.0282,60.0282,60.0275,60.0277,60.0286,60.0288,60.0272,60.0273,60.0274,60.0274,60.0231000000001,60.0274,60.0217,60.0278,60.0257,60.0209,60.0286,60.0279,60.0294,60.0282,60.0279,60.0282,60.0267,60.0265,60.0288,60.0282,60.0286,60.0273,60.0263,60.0278,60.0285,60.0288727272727,60.0285,60.028,60.0279,60.0282,60.0283,60.027,60.0283,60.0253,60.0273,60.0279,60.0277,60.0281,60.0283,60.0276,60.0247,60.0279,60.0277,60.0279,60.0271,60.0264363636364
2024/10/21 3:59:48.0,3.0372,3.0372,3.7496,3.0655,3.0365,3.0372,3.0833,3.0832,3.0448,3.0349,60.0283,60.0224,60.0263,60.0271,60.0279,60.0265,60.0274,60.0277,60.0261,60.0268,60.0276,60.0273,60.0271,60.0274,60.0284,60.0274,60.0276,60.0269,60.0264,60.0233000000001,60.0276,60.0204,60.0271,60.0316,60.0295,60.0288,60.0275,60.0279,60.0275,60.0276,60.0283,60.0266,60.0278,60.0278,60.0274,60.0268,60.0276,60.0288,60.0282,60.0276,60.0289818181818,60.0274,60.0284,60.0282,60.0273,60.0275,60.0266,60.0279,60.0284,60.0267,60.0279,60.0277,60.0277,60.0282,60.0263,60.0258,60.027,60.0284,60.0278,60.0278,60.0260272727273
2024/10/21 3:59:48.1,3.0338,3.0338,2.0111,3.1399,3.0328,3.0341,3.0712,3.1014,3.0197,3.0327,60.0294,60.0171,60.0284,60.0267,60.0277,60.0266,60.0278,60.0269,60.0287,60.0279,60.0268,60.0275,60.0284,60.028,60.029,60.027,60.0286,60.0263,60.0279,60.0235,60.0272,60.0233,60.0271,60.031,60.0276,60.0285,60.027,60.0267,60.0264,60.0267,60.0286,60.0267,60.0273,60.0287,60.0276,60.0263,60.0277,60.028,60.027,60.0272,60.0290909090909,60.0277,60.028,60.0284,60.0266,60.027,60.0264,60.0274,60.0309,60.0262,60.0272,60.0262,60.0267,60.0271,60.0262,60.0267,60.0277,60.028,60.0294,60.0284,60.0256181818182
2024/10/21 3:59:48.2,3.0301,3.0301,2.5535,3.0208,3.0302,3.025,3.3497,3.0868,3.0314,3.0447,60.0298,60.0225,60.0283,60.0266,60.0281,60.0266,60.0261,60.028,60.0265,60.0283,60.0259,60.0266,60.027,60.0275,60.0281,60.028,60.0279,60.0261,60.0258,60.0237000000002,60.0268,60.0235,60.0263,60.0277,60.0286,60.0283,60.0274,60.0286,60.0263,60.0272,60.0279,60.0266,60.027,60.0277,60.027,60.0296,60.028,60.028,60.027,60.0276,60.0292,60.0275,60.028,60.0279,60.0272,60.0268,60.0259,60.0274,60.0264,60.0249,60.0272,60.0278,60.0267,60.0269,60.0235,60.0235,60.0274,60.0279,60.0286,60.0279,60.0252090909091
2024/10/21 3:59:48.3,3.0274,3.0274,2.006,3.15,3.0277,3.0307,2.8633,2.8734,3.0309,3.033,60.0284,60.0238,60.0277,60.0255,60.0294,60.026,60.0264,60.027,60.0273,60.028,60.0258,60.0266,60.0269,60.0275,60.0283,60.0281,60.0282,60.0254,60.0272,60.0238999999999,60.026,60.0268,60.0255,60.0258,60.025,60.0273,60.0272,60.0274,60.0263,60.0267,60.0278,60.0265,60.0274,60.0282,60.0267,60.0251,60.0288,60.0268,60.0264,60.0283,60.0275,60.0269,60.027,60.0271,60.0276,60.0268,60.0249,60.0272,60.0245,60.0255,60.0282,60.0278,60.0269,60.0274,60.0253,60.0239,60.027,60.0281,60.0273,60.0282,60.0248
2024/10/21 3:59:48.4,3.0241,3.0241,3.1321,2.9544,3.0246,3.0257,3.1705,3.1099,2.9757,3.0203,60.0289,60.032,60.0263,60.0254,60.0287,60.0248,60.0258,60.0271,60.0273,60.0275,60.0253,60.027,60.0262,60.0284,60.0281,60.0271,60.0286,60.0254,60.0268,60.0241000000001,60.0262,60.0279,60.0244,60.0272,60.0279,60.0276,60.0276,60.0273,60.0259,60.0262,60.0277,60.0271,60.0256,60.028,60.0269,60.0282,60.0274,60.0252,60.0268,60.026,60.0255,60.0269,60.0279,60.0277,60.0266,60.0264,60.0252,60.0276,60.0288,60.025,60.0272,60.0269,60.0259,60.0267,60.0246,60.0325,60.0268,60.0269,60.0282,60.0293,60.0281
2024/10/21 3:59:48.5,3.0207,3.0207,2.4198,3.0234,3.0203,3.0197,3.2666,3.0177,3.0166,3.0276,60.0289,60.0201,60.0264,60.025,60.0271,60.0259,60.0248,60.0268,60.0275,60.0269,60.0249,60.0266,60.0277,60.0275,60.0274,60.0281,60.028,60.0254,60.0258,60.0243,60.0263,60.0308,60.0253,60.0274,60.0288,60.0272,60.0276,60.0263,60.026,60.0255,60.0283,60.0273,60.0271,60.0279,60.0264,60.0264,60.0276,60.0272,60.0264,60.0277,60.027,60.0267,60.0273,60.0273,60.0284,60.0263,60.0254,60.0274,60.0293,60.0248,60.0278,60.028,60.0259,60.0276,60.0252,60.0243,60.027,60.0268,60.0262,60.0275,60.0274
2024/10/21 3:59:48.6,3.0171,3.0171,3.6524,3.0391,3.0169,3.0155,2.8598,2.9731,3.0019,3.0231,60.0282,60.0265,60.026,60.0258,60.0274,60.0249,60.0261,60.027,60.0271,60.0263,60.0249,60.0265,60.0274,60.0275,60.027,60.0271,60.0273,60.0251,60.0286,60.0245,60.0261,60.0301,60.0257,60.0281,60.0311,60.027,60.0274,60.0365,60.0264,60.0258,60.0272,60.0264,60.0259,60.0277,60.0274,60.0274,60.0272,60.0271,60.0277,60.0275,60.0274,60.0259,60.0277,60.0272,60.0267,60.0256,60.025,60.0277,60.0251,60.0247,60.0276,60.0274,60.0257,60.0272,60.0277,60.0291,60.0274,60.0284,60.0276,60.0272,60.0274
2024/10/21 3:59:48.7,3.0136,3.0136,1.727,2.9334,3.0134,3.0119,3.1033,2.9812,3.0593,3.0205,60.0281,60.0247,60.0255,60.0259,60.0272,60.0249,60.025,60.0262,60.0276,60.0263,60.0248,60.027,60.028,60.0271,60.0283,60.0259,60.0267,60.0252,60.0268,60.0246999999999,60.0259,60.0315,60.0264,60.0252,60.0263,60.0272,60.0272,60.0209,60.0254,60.0263,60.0272,60.0267,60.0252,60.0265,60.0262,60.0261,60.0264,60.0257,60.0263,60.0256,60.0282,60.0272,60.0274,60.0266,60.0271,60.0252,60.0253,60.0261,60.0269,60.025,60.0267,60.0267,60.0256,60.0294,60.0253,60.016,60.027,60.0267,60.0271,60.0266,60.0269
