Time,601_volt,620_volt,623_volt,634_volt,640_volt,647_volt,670_volt,671_volt,673_volt,674_volt,686_volt
08:04.1,0.021996,0.022003,0,0,0,0.022003,0.020996,0,0,0,-0.021996
08:04.2,0.021996,0.042999,0,-0.00099945,0,0.022003,0.020996,0.021996,0,-0.022003,-0.021996
08:04.3,0.064995,0,0.021004,-0.00099945,-0.089996,0.022003,-0.022003,0.021996,0,-0.042999,-0.064995
08:04.4,0.13,0.022003,0.021004,0,-0.089996,-0.042999,-0.022003,0.021996,0,-0.042999,-0.042999
08:04.5,0.064995,0.065002,0,-0.00099945,0,-0.021004,-0.043999,0.021996,0,-0.065002,-0.042999
08:04.6,0.043999,0.087006,0.021004,0,0,-0.021004,-0.022003,0,0,-0.022003,0
08:04.7,0.043999,0.087006,0,0,-0.089996,0,-0.022003,0.021996,0.020996,-0.042999,-0.021996
08:04.8,0.043999,0.087006,0,0,-0.089996,0.022003,-0.022003,0,0,-0.022003,-0.021996
08:04.9,0.043999,0.087006,0,0,0,0.022003,0,0,0.020996,-0.022003,-0.021996
08:05.0,0.043999,0.108,0,0,0,0.022003,0.020996,0.021996,0,-0.022003,-0.021996
08:05.1,0.043999,0.108,0.021004,0,0,0.042999,0.020996,0,0,-0.065002,0
08:05.2,0.043999,0.108,0,0,-0.089996,0.042999,0,0,0,-0.042999,-0.086998
08:05.3,0.064995,0.042999,0,0,0,0.042999,-0.022003,0,0,-0.085999,-0.108
08:05.4,0.13,0.022003,0,0,0,0.065002,-0.022003,0,0,-0.085999,-0.13
08:05.5,0.064995,0,0,0,0,0.042999,-0.022003,-0.042999,0,-0.042999,-0.13
08:05.6,0.021996,-0.042999,0,-0.00099945,0,0.065002,-0.022003,0.021996,0.020996,-0.042999,-0.13
08:05.7,0.021996,0,0,-0.00099945,0,0.022003,0,0.021996,0.020996,-0.022003,-0.13
08:05.8,0.021996,0.065002,-0.021996,-0.00099945,0,-0.021004,-0.022003,0.021996,0.020996,0,-0.13
08:05.9,0.021996,0.065002,-0.021996,0,0,0.022003,-0.065002,0,0.020996,-0.022003,-0.13
08:06.0,0.021996,0.042999,0,0,0,0.022003,-0.065002,-0.021004,0,-0.065002,-0.13
08:06.1,0,0.042999,-0.043999,0,0,0.022003,-0.022003,0,0,-0.042999,-0.13
08:06.2,0,0.042999,-0.043999,0,0,0.022003,-0.022003,0,0,-0.065002,-0.151
08:06.3,0.043999,0.065002,-0.021996,0,0,0,-0.022003,0,0,-0.022003,-0.151
08:06.4,0.086998,-0.020996,0,0,0,0,0,0,0,-0.085999,-0.13
08:06.5,0.021996,-0.042999,-0.021996,0,0,0,0,-0.021004,-0.022003,-0.065002,-0.151
08:06.6,0.021996,-0.129,-0.021996,0,0,0.022003,0,-0.021004,-0.022003,-0.085999,-0.151
08:06.7,0.021996,-0.173,-0.021996,0,0,0.022003,0,-0.021004,-0.042999,-0.085999,-0.151
08:06.8,0.021996,-0.194,-0.021996,0,0,0.022003,0,0.021996,-0.022003,-0.065002,-0.13
08:06.9,0.021996,-0.216,0,0,0,0.022003,0,0.021996,0,-0.042999,-0.13
08:07.0,0.021996,-0.129,0,0,0,0.022003,0,0,-0.022003,-0.085999,-0.13
08:07.1,0.021996,-0.042999,-0.021996,0,0,0.022003,0,0,-0.022003,-0.085999,-0.13
08:07.2,0,0.042999,-0.021996,0,0,0.022003,0,-0.021004,-0.022003,-0.13,-0.13
08:07.3,0.021996,0.087006,-0.021996,0,0,0,-0.022003,-0.021004,-0.042999,-0.13,-0.13
08:07.4,0.064995,0.087006,0,0,0,0,-0.022003,-0.021004,-0.042999,-0.085999,-0.151
08:07.5,0.021996,0.065002,-0.021996,0,0,0.022003,-0.022003,0,-0.022003,-0.108,-0.151
08:07.6,-0.021004,0.108,-0.021996,0,0,0.042999,-0.043999,0,-0.042999,-0.085999,-0.151
08:07.7,0,0.087006,-0.021996,-0.00099945,0,0.022003,-0.022003,0,-0.042999,-0.065002,-0.151
08:07.8,0,0.042999,0,-0.00099945,0,0,0,0,-0.022003,-0.022003,-0.13
08:07.9,-0.021004,-0.020996,0,0,0,0,0.020996,-0.021004,-0.022003,-0.042999,-0.151
08:08.0,-0.021004,-0.129,0,0,0,0,0.020996,-0.021004,-0.042999,-0.065002,-0.13
08:08.1,0,-0.173,0,0,0,0,0.020996,-0.021004,-0.042999,-0.13,-0.151
08:08.2,0.021996,-0.194,0,0,0,0,0.020996,-0.042999,-0.042999,-0.108,-0.173
08:08.3,0.043999,-0.151,0.021004,0,0,0,0.020996,-0.021004,-0.022003,-0.085999,-0.173
08:08.4,0.086998,-0.064995,0,0,0,0,0.042999,-0.021004,0,-0.065002,-0.173
08:08.5,0.043999,0.042999,0,0,0,-0.021004,0.065002,-0.021004,-0.042999,-0.042999,-0.151
08:08.6,0,0.108,0,0,0,-0.021004,0.042999,-0.021004,-0.042999,-0.085999,-0.151
08:08.7,0,0.173,0,0,0,-0.042999,0.065002,0,-0.042999,-0.085999,-0.151
08:08.8,0,0.087006,0,0,-0.089996,-0.042999,0.042999,-0.021004,-0.042999,-0.13,-0.151
08:08.9,0,0.065002,0,0,0,-0.021004,0.020996,-0.021004,0,-0.13,-0.151
08:09.0,0,0.022003,0,0,-0.089996,0,0,0,0,-0.065002,-0.151
08:09.1,0,0.022003,0,0,0,0.042999,0.020996,0.021996,0,-0.085999,-0.151
08:09.2,-0.021004,-0.042999,-0.021996,0,-0.089996,0.022003,0.042999,0,0,-0.065002,-0.151
08:09.3,0.021996,0.022003,-0.021996,0,0,0.022003,0.065002,0.021996,-0.022003,-0.085999,-0.13
08:09.4,0.043999,-0.042999,-0.021996,-0.00099945,0,0.022003,0.065002,0.021996,-0.022003,-0.085999,-0.13
08:09.5,-0.021004,-0.085999,-0.043999,-0.00099945,0,0.022003,0.065002,0,-0.042999,-0.108,-0.151
08:09.6,-0.021004,-0.042999,-0.043999,-0.00099945,0,0.022003,0.065002,0,0,-0.085999,-0.151
08:09.7,0,-0.020996,-0.043999,-0.00099945,0,0.022003,0.065002,0,0,-0.085999,-0.151
08:09.8,-0.021004,-0.020996,-0.021996,-0.00099945,0,0.042999,0.042999,0.021996,0,-0.108,-0.13
08:09.9,0,0,-0.043999,-0.00099945,0,0.042999,0.065002,0,-0.022003,-0.13,-0.13
08:10.0,0,0.022003,-0.043999,0,0,0.022003,0.042999,0.021996,0,-0.108,-0.108
08:10.1,0,0.022003,-0.043999,0,0,0,0.042999,0.042999,0,-0.085999,-0.13
08:10.2,-0.021004,0.022003,-0.021996,0,0,0.022003,0.065002,0.021996,0,-0.085999,-0.108
08:10.3,0.021996,0.042999,-0.021996,0,0,0.022003,0.042999,0.021996,-0.022003,-0.108,-0.13
08:10.4,0.043999,0.042999,-0.021996,0,0,0.022003,0.042999,0.021996,0,-0.085999,-0.108
08:10.5,0,0.042999,-0.021996,0,0,0.022003,0.042999,0.021996,0,-0.085999,-0.108
08:10.6,-0.021004,0.022003,-0.043999,0,0,0,0.020996,0.021996,0,-0.108,-0.13
08:10.7,-0.021004,-0.085999,-0.043999,0,0,-0.021004,0.020996,0,-0.022003,-0.085999,-0.13
08:10.8,-0.021004,-0.151,-0.043999,0,0,0,0.020996,0.021996,-0.022003,-0.085999,-0.13
